# energy_gev counts
100.5 75
101.5 57
102.5 57
103.5 58
104.5 51
105.5 60
106.5 60
107.5 48
108.5 37
109.5 50
110.5 47
111.5 30
112.5 40
113.5 31
114.5 47
115.5 37
116.5 40
117.5 39
118.5 34
119.5 32
120.5 31
121.5 25
122.5 16
123.5 17
124.5 23
125.5 24
126.5 30
127.5 32
128.5 27
129.5 28
130.5 29
131.5 21
132.5 24
133.5 28
134.5 33
135.5 31
136.5 35
137.5 27
138.5 23
139.5 28
140.5 17
141.5 17
142.5 27
143.5 14
144.5 13
145.5 18
146.5 10
147.5 14
148.5 9
149.5 7
150.5 10
151.5 10
152.5 14
153.5 9
154.5 12
155.5 6
156.5 7
157.5 6
158.5 11
159.5 10
